customerkey,prefix,firstname,lastname,birthdate,maritalstatus,gender,emailaddress,annualincome,totalchildren,educationlevel,occupation,homeowner,fullname,age,incomecategory
11000,Mr.,Jon,Yang,1966-04-08,Married,Male,jon24@adventure-works.com,90000.0,2,Bachelors,Professional,Yes,Jon Yang,60,Medium
11001,Mr.,Eugene,Huang,1965-05-14,Single,Male,eugene10@adventure-works.com,60000.0,3,Bachelors,Professional,No,Eugene Huang,61,Medium
11002,Mr.,Ruben,Torres,1965-08-12,Married,Male,ruben35@adventure-works.com,60000.0,3,Bachelors,Professional,Yes,Ruben Torres,60,Medium
11003,Ms.,Christy,Zhu,1968-02-15,Single,Female,christy12@adventure-works.com,70000.0,0,Bachelors,Professional,No,Christy Zhu,58,Medium
11004,Mrs.,Elizabeth,Johnson,1968-08-08,Single,Female,elizabeth5@adventure-works.com,80000.0,5,Bachelors,Professional,Yes,Elizabeth Johnson,57,Medium
11005,Mr.,Julio,Ruiz,1965-08-05,Single,Male,julio1@adventure-works.com,70000.0,0,Bachelors,Professional,Yes,Julio Ruiz,60,Medium
11007,Mr.,Marco,Mehta,1964-05-09,Married,Male,marco14@adventure-works.com,60000.0,3,Bachelors,Professional,Yes,Marco Mehta,62,Medium
11008,Mrs.,Robin,Verhoff,1964-07-07,Single,Female,rob4@adventure-works.com,60000.0,4,Bachelors,Professional,Yes,Robin Verhoff,61,Medium
11009,Mr.,Shannon,Carlson,1964-04-01,Single,Male,shannon38@adventure-works.com,70000.0,0,Bachelors,Professional,No,Shannon Carlson,62,Medium
11010,Ms.,Jacquelyn,Suarez,1964-02-06,Single,Female,jacquelyn20@adventure-works.com,70000.0,0,Bachelors,Professional,No,Jacquelyn Suarez,62,Medium
11011,Mr.,Curtis,Lu,1963-11-04,Married,Male,curtis9@adventure-works.com,60000.0,4,Bachelors,Professional,Yes,Curtis Lu,62,Medium
11012,Mrs.,Lauren,Walker,1968-01-18,Married,Female,lauren41@adventure-works.com,100000.0,2,Bachelors,Management,Yes,Lauren Walker,58,High
11013,Mr.,Ian,Jenkins,1968-08-06,Married,Male,ian47@adventure-works.com,100000.0,2,Bachelors,Management,Yes,Ian Jenkins,57,High
11014,Mrs.,Sydney,Bennett,1968-05-09,Single,Female,sydney23@adventure-works.com,100000.0,3,Bachelors,Management,No,Sydney Bennett,58,High
11015,Ms.,Chloe,Young,1979-02-27,Single,Female,chloe23@adventure-works.com,30000.0,0,Partial College,Skilled Manual,No,Chloe Young,47,Low
11016,Mr.,Wyatt,Hill,1979-04-28,Married,Male,wyatt32@adventure-works.com,30000.0,0,Partial College,Skilled Manual,Yes,Wyatt Hill,47,Low
11017,Mrs.,Shannon,Wang,1944-06-26,Single,Female,shannon1@adventure-works.com,20000.0,4,High School,Skilled Manual,Yes,Shannon Wang,81,Low
11018,Mr.,Clarence,Rai,1944-10-09,Single,Male,clarence32@adventure-works.com,30000.0,2,Partial College,Clerical,Yes,Clarence Rai,81,Low
11019,Mr.,Luke,Lal,1978-03-07,Single,Male,luke18@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Luke Lal,48,Low
11020,Mr.,Jordan,King,1978-09-20,Single,Male,jordan73@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Jordan King,47,Low
